,FIPS,State,Area_Name,ratio_population_enrolled-,isCollegeCounty,Total College Enrollment,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,cases_prior_start,deaths_prior_start,normalized_cases_prior_start,normalized_deaths_prior_start
0,1001,AL,Autauga County,0.028469559,0,1581,2,2,0.0,55533.0,25261,935,3.6,59338.0,472.0,3.0,849.9450777015468,5.4021932904759336
1,1003,AL,Baldwin County,0.024286796,0,5291,3,2,5.0,217855.0,91809,3424,3.6,57588.0,2261.0,18.0,1037.846273897776,8.2623763512428
2,1005,AL,Barbour County,0.023238984,0,578,6,6,3.0,24872.0,7987,427,5.1,34382.0,197.0,3.0,792.0553232550659,12.061756191701512
3,1007,AL,Bibb County,0.03290562,0,736,1,1,0.0,22367.0,8268,337,3.9,46064.0,230.0,4.0,1028.3006214512452,17.883489068717306
4,1009,AL,Blount County,0.026397327,0,1525,1,1,0.0,57771.0,24201,868,3.5,50412.0,565.0,4.0,977.9993422305309,6.923889148534732
5,1011,AL,Bullock County,0.035089444,0,357,6,6,3.0,10174.0,4571,220,4.6,29267.0,113.0,1.0,1110.6742677413013,9.828975820719482
6,1013,AL,Butler County,0.026488717000000002,0,520,6,6,0.0,19631.0,8553,420,4.7,37365.0,127.0,5.0,646.9359686210586,25.469920024451124
7,1015,AL,Calhoun County,0.042936735999999996,0,4909,3,2,4.0,114331.0,44191,2116,4.6,45400.0,1300.0,14.0,1137.0494441577525,12.245147860160412
8,1017,AL,Chambers County,0.032232143,0,1083,6,5,0.0,33600.0,14775,591,3.8,39917.0,191.0,6.0,568.452380952381,17.857142857142858
9,1019,AL,Cherokee County,0.029099716,0,757,6,6,0.0,26014.0,11276,412,3.5,42132.0,174.0,2.0,668.8706081340816,7.688167909587145
10,1021,AL,Chilton County,0.028440097,0,1256,1,1,0.0,44163.0,18924,700,3.6,47547.0,499.0,8.0,1129.90512419899,18.11471141000385
11,1023,AL,Choctaw County,0.033273592000000005,0,427,9,10,3.0,12833.0,4493,256,5.4,39907.0,75.0,0.0,584.4307644354399,0.0
12,1025,AL,Clarke County,0.02588009,0,619,7,11,3.0,23918.0,7096,563,7.4,40741.0,513.0,4.0,2144.8281628898735,16.723806338322603
13,1027,AL,Clay County,0.040469385,0,538,9,10,3.0,13294.0,5784,226,3.8,39201.0,190.0,3.0,1429.216187753874,22.566571385587483
14,1029,AL,Cleburne County,0.0242505,0,364,8,4,0.0,15010.0,5552,243,4.2,46495.0,72.0,0.0,479.68021319120584,0.0
15,1031,AL,Coffee County,0.028681424,0,1490,4,5,0.0,51950.0,20193,814,3.9,55122.0,351.0,2.0,675.6496631376324,3.8498556304138596
16,1033,AL,Colbert County,0.028525197999999998,0,1569,3,2,0.0,55004.0,22478,1063,4.5,49055.0,615.0,10.0,1118.1005017816885,18.180495963929896
